name,roast,loc_country,origin_1,origin_2,X100g_USD,rating,review_date
Ethiopia Gedeb Worka Single Variety 74110 G1,Medium-Light,Taiwan,Gedeb District,Gedeo Zone,4.94,92,22-Jun
Panama Finca Santa Teresa,Medium-Light,United States,Chiriquí Province,Panama,4.12,93,22-Jun
Yemen Al Mashtal Al Burhani,Medium-Light,United States,Haraaz,Yemen,26.46,95,22-May
Bella Carmona Guatemala,Medium-Light,United States,Antigua Growing Region,Guatemala,5,93,20-Jun
Honey Typica,Medium-Light,Hawai'i,Ka'U Growing Region,Big Island Of Hawai'I,10.58,92,19-May
GW01 Finca Sophia Olympus Geisha,Medium-Light,Taiwan,Nueva Suiza,Chiriquí,28.27,98,20-Nov
Kenya Kamwangi,Medium-Light,United States,Gichugu Division,Kirinyaga County,7.05,95,21-Aug
Brazil Ipanema Premier Cru Gold A49 Cherry,Medium-Light,Taiwan,Serra Da Mantiqueira,Brazil,3.96,93,22-May
Snowfield Espresso Blend,Medium,United States,El Salvador,Ethiopia,4.69,91,20-Jul
Ka’u IPA Natural,Medium-Light,United States,Ka’U Growing Region,Big Island Of Hawai’I,22.05,95,22-Feb
Ethiopia Yirgacheffe Washed G1,Medium-Light,Hong Kong,Yirgacheffe Growing Region,Southern Ethiopia,6.87,92,17-Nov
Ethiopia Bedhatu Washed,Medium-Light,United States,Gedeb District,Gedeo Zone,5.88,92,22-Jan
ASOPEP Colombia,Medium-Light,United States,Planadas,Tolima Department,4.63,91,18-Sep
Colombia Pink Bourbon Finca El Chaparote,Light,United States,Huila Department,Colombia,8.79,94,21-Mar
Natural Ka’u Maragogipe,Medium-Light,Hawai'i,Ka’U Growing Region,Big Island Of Hawai’I,16.75,94,21-Dec
Kenya AB Muchoki,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,5.86,95,17-Nov
Ethiopia Guji Mormora Organic Natural,Light,United States,Guji Zone,Southern Ethiopia,5.57,94,21-Nov
Espresso Blend,Medium-Light,Taiwan,Guatemala,Ethiopia,7.05,92,21-Dec
Decaf Ethiopia Sidamo,Medium,United States,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,5.73,90,17-Nov
Costa Coast Blend,Medium-Light,United States,Costa Rica,Ethiopia,4.63,92,18-Feb
Direct Fair Trade Espresso,Medium-Light,Canada,Africa,South America,2.82,92,17-Nov
Wolde Hirbe Natural Espresso,Medium-Light,United States,Gedeo Zone,Southern Ethiopia,5.41,92,20-Feb
Ethiopia Natural Guji PB JackyLai Lot,Medium-Light,Taiwan,Guji Zone,Oromia Region,4.25,94,20-Apr
La Esperanza Villa Sarchi,Medium,Guatemala,Antigua Growing Region,Guatemala,4.85,92,20-Oct
Ethiopia Hambela 1 Organic Natural Alaka,Medium-Light,United States,Hambela District,Oromia Growing Region,4.41,92,19-Jun
Mexico FTO,Medium-Light,United States,Chiapas,Mexico,4.91,91,22-Sep
Panama Finca Hartmann Geisha Natural,Light,United States,Chiriqui Province,Far Western Panama,23.81,95,18-Jan
Subrosa Ethiopia Kayon Mountain Organic Natural,Medium-Light,United States,Odo Shakiso District,Guji Zone,5.29,93,21-Dec
Kuta Kofi Papua New Guinea,Medium-Light,United States,Upper Waghi Valley,Jiawaka Province,5.29,93,22-May
Rwanda Bufcafe Remera,Medium,United States,Gikongoro Prefecture,South-Central Rwanda,4.26,92,18-Mar
Ethiopia Sidama Bensa Farmer Tamiru 74158 Natural,Light,Taiwan,Sidama Growing Region,Southern Ethiopia,16.28,96,21-Nov
Secret Lovers Blend,Medium-Light,Taiwan,Costa Rica,El Salvador,5.69,93,22-Mar
Ethiopia Guji Natural Water-Processed Decaf,Medium-Light,United States,Guji Zone,Oromia Region,4.12,90,20-Aug
Hunkute by Nordic Approach,Light,Taiwan,Sidama Growing Region,Southern Ethiopia,7.05,94,22-Feb
Ethiopia Kayon Mountain,Medium-Light,United States,Odo Shakiso District,Guji Zone,4.7,93,18-Oct
Ethiopia Holy Grail Natural Yirgacheffe,Medium,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,17.7,93,18-Jan
Bright Minds,Medium-Light,United States,San José,Caldas,5.29,93,21-Feb
Ethiopia Bedessa,Medium-Light,United States,Guji Zone,Southern Ethiopia,7.35,92,21-Nov
Guji Hamasho Washed,Medium-Light,United States,Bombe Mountains,Sidama Growing Region,7.33,94,21-Oct
Brazil Fazenda Sertãozinho,Medium,Taiwan,São Sebastião Da Grama,São Paulo State,4.25,91,18-Aug
Rwanda Bumbogo,Medium-Light,United States,Gakenke,Northern Province,4.12,93,20-Apr
Kenya AA Kirinyaga Kii,Medium-Light,Taiwan,Kirinyaga District,South-Central Kenya,8.5,95,20-Aug
Cold Brew,,United States,Guatemala,Not Disclosed,0.12,90,18-Jul
Ethiopia Banko Dhadhato Washed,Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,94,18-Dec
Ethiopia Sheka Kawo Kamina Natural,Medium-Light,United States,Illubabor Zone,Oromia Region,7.33,95,20-Sep
El Salvador Finca Mileydi Pacamara,Medium-Light,United States,Cantón El Tunel,La Palma,7.35,95,22-Feb
Banco Gotete Ethiopia,Medium-Light,United States,Kochere Woreda,Gedeo Zone,4.82,93,19-Jul
Espresso Classico,Medium,United States,Brazil,Ecuador,3.81,93,19-Jun
El Salvador Cerro Las Ranas Honey Espresso,Medium-Light,Taiwan,Santa Ana Region,El Salvador,2.55,94,19-Apr
Kona Uluwehi SL34,Medium-Light,United States,Holualoa,Kona,26.41,94,21-Mar
Mocha Java Blend Fair Trade Organic,Medium-Light,United States,Ethiopia,Sumatra,4.26,92,19-Feb
Rwanda Sholi Natural Single-Origin Espresso,Medium-Light,United States,Muhanga,Rwanda,6.47,94,22-Sep
Area Code 207,Medium,United States,Sumatra,Colombia,4.11,90,22-Jun
Ethiopia Natural Yirgacheffe Adado Shara,Medium-Light,United States,Ethiopia Natural Yirgacheffe Adado Shara,Not Disclosed,4.4,93,18-Jul
Pandemic Pacamara Blend,Medium,United States,El Salvador,Guatemala,4.69,93,21-Jun
Ethiopia Yirgacheffe Heyilu Butiya,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.08,93,21-Apr
Tropical Grenade,Medium-Light,Malaysia,Mexico,Panama,7.89,92,22-Jul
Colombia Tres Dragones,Light,United States,Caicedonia,Valle De Cauca Department,8.11,94,22-Nov
Andi Sumatra,Medium-Light,United States,Aceh Province,Sumatra,5.73,93,21-Aug
Ethiopia Suke Quto Honey,Medium-Light,United States,Guji Zone,Oromia Region,5.28,94,18-Feb
Rwanda Triple-Washed,Medium-Light,United States,Nyamasheke District,Rwanda,5.88,92,21-Feb
Thailand Huai Mae Liam White Honey,Light,United States,Huai Mae Liam,Chiang Rai,7.33,92,21-Mar
Zambia Kateshi Natural,Medium-Light,United States,Northern Province,Zambia,5,92,19-Aug
Ethiopia Natural Sidamo Papilio,Light,Taiwan,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,4.25,93,18-Feb
Pacas Estate El Salvador Natural,Medium-Light,United States,Los Naranjos,Juayua,4.7,94,22-Feb
Ethiopia Mulegeta Sintayehu Washed,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,16,94,20-Jan
Kenya Gicherori,Medium-Light,United States,Embu,Kenya,6.91,94,20-Aug
Ethiopia Getu Kurume Natural,Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,6.51,95,22-Oct
Honduras San Vincent,Medium-Light,United States,Santa Barbara,Honduras,6.17,92,20-Sep
Kenya AB,Medium,United States,South-Central Kenya,Santa Maria,5.29,94,19-Feb
Costa Rica Las Lajas Perla Negra,Medium-Light,United States,Sabanilla De Alajuela Growing Region,Costa Rica,5.57,94,22-Oct
Guatemala Vista Al Bosque,Medium,United States,Huehuetenango,Guatemala,5.58,93,20-Jun
Panama Abu Geisha Lot 6,Medium-Light,United States,Cañas Verdes,Boquete Growing Region,22.05,95,21-Dec
Sumatra Batak Naga Saribu,Medium-Light,Taiwan,Lintong Growing Region,North Sumatra Province,3.68,93,18-Jun
Monteverde Costa Rica,Medium-Light,United States,Monteverde,Costa Rica,3.7,93,18-Apr
Umoja Organic Red Bourbon,Light,United States,South Kivu Province,Democratic Republic Of The Congo,5.29,93,20-Nov
SGG Ethiopia Sidamo G2,Medium-Light,Taiwan,Guji Zone,Oromia Region,3.52,91,21-Oct
Colombia Nariño,Medium-Light,United States,Nariño Department,Southern Colombia,5,93,20-Jun
Ethiopia Hambela Alaka,Medium-Light,United States,Hambela Wamena District,Guji Zone,4.7,93,19-Mar
Democratic Republic of Congo Mighty Peace Mapendo,Medium-Light,United States,Lake Kivu,Democratic Republic Of Congo,5.88,93,22-Mar
Ethiopia Sidama Bona Sweet Natural G1,Medium-Light,Taiwan,Idamo (Also Sidama) Growing Region,South-Central Ethiopia,13.67,93,20-Oct
Costa Rica Esteban Zamora,Medium-Light,United States,Tarrazu Growing Region,Costa Rica,6.03,91,18-Aug
Brazil Red Catuaí Double-Anaerobic,Medium-Light,Taiwan,Minas Gerais State,Brazil,4.81,93,22-May
Kenya Nyeri Jungle Estate Red Cherry SLD Anaerobic Natural,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,10.57,95,22-Mar
Colombia,Medium,United States,Colombia,Colombia,1.49,88,20-Feb
Geisha Panama Santamaria Natural,Medium-Light,Australia,Paso Ancho,Volcan,16.56,95,17-Nov
Estate-Grown Mamo,Medium,Hawai'i,Kealakekua,Kona Growing District,22.05,90,19-May
Ethiopia Nano Challa Cold Brew,,United States,Jimma Zone,Oromia State,1.34,94,20-Jul
Ethiopia Harrar,Medium-Dark,United States,Harar (Also Harrar) Growing Region Of Eastern Ethiopia,Rulindo,3.97,91,19-Mar
Kenya Nyeri Rumukia Peaberry,Medium,Taiwan,Nyeri Growing Region,South-Central Kenya,6.83,92,18-May
YCFCU Banko Gotiti Coop G1,Medium-Dark,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,6.02,95,18-Aug
Monteblanco Cold Fermentation Geisha,Medium-Light,United States,Huila,Colombia,8.52,94,20-May
Brazil Carmo de Minas Natural,Medium-Light,United States,Carmo De Minas Growing Region,Northeastern Minas Gerais State,4.56,91,18-May
Ethiopia Shantawene,Light,United States,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,6.47,92,20-Oct
Karen J Kona Red Bourbon Natural Anaerobic,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,22.02,95,22-Feb
Kona Pumpkin Spice Anaerobic,Medium-Light,United States,Kona,Big Island Of Hawai’I,22,93,20-Sep
Peru Paltachayoc,Medium,United States,Cusco Department,La Convención Province,4.41,91,19-Oct
Gesha Village Lot #85 Natural,Medium-Light,United States,Bench-Maji Zone,Southern Ethiopia,17.61,95,19-Oct
Costa Rica Black Honey,Medium-Light,Taiwan,Costa Rica,Bani Matar Growing Region,3.89,94,21-Aug
Macarena Colombia,Medium-Light,United States,Piendamó,Cauca Department,7.94,94,22-Mar
Thailand Robusta Panid Choosit,Medium-Light,United States,Tha Sae,Chumphon,4.98,90,21-Jan
Dirty South,Medium,United States,Colombia,Nicaragua,4.41,91,20-Apr
Tumba Rwanda,Medium-Light,United States,Rulindo,Rwanda,5,92,19-Mar
Yemen Haraaz Red Mahal Aqeeq ul Station Natural,Medium-Light,United States,Sharqi,Haraaz,15.43,97,22-May
Kenya Nyeri Gathaithi,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,6.76,93,22-Jul
Guji Oraga Tabe,Medium-Light,United States,Guji Zone,Oromia Region,6.76,92,18-Dec
Lian House Blend Espresso,Medium,Taiwan,Peru,Colombia,4.51,90,20-Feb
Fruity Espresso Blend,Medium-Light,Hong Kong,Panama,Ethiopia,7.67,95,21-Jan
KonAroma Direct Trade Kona,Medium,United States,Kona Growing District,Big Island Of Hawaii,10.58,92,20-Mar
Ethiopia Washed Phoenix Special “Muse”,Medium-Dark,Taiwan,Gedeb District,Gedeo Zone,9.91,95,18-Oct
Tres Dragones Colombia,Medium-Light,United States,Caicedonia,Valle De Cauca Department,7.35,94,21-May
Coffea Diversa Bourbon Rey Guatemala,Medium-Light,United States,Guatemala,Jamaica,17.61,93,19-Oct
Karimiuki Espresso,Medium-Light,United States,Kirinyaga,Kenya,6.17,96,20-Jul
Kenya Washed Peaberry Rnyeusi,Medium-Light,Taiwan,Central Province,Kenya,4.6,94,20-Nov
Colombia Antioqiua,Medium-Light,United States,Antioquia,Colombia,6.76,91,20-Oct
Ethiopia Sidamo Bensa Washed G1,Light,Taiwan,Sidamo Growing Region,Ethiopia,7.2,93,22-Oct
Guatemala El Retiro del Quisaya,Light,United States,San Martin Jilotepeque,Chimaltenango Department,5.58,93,17-Nov
Holiday Coffee,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,17.61,94,20-Nov
Holiday Reserve Roast — Costa Rica Termico,Medium-Light,United States,Tarrazu,Costa Rica,7.35,92,22-Jan
Panama Finca Lerida Geisha Black Honey,Medium-Light,United States,Jaramillo,Boquete Growing Region,11.75,93,18-Dec
Colombia Antioquia La Papaya Bourbon Chiroso,Medium-Light,Taiwan,Antioquia Department,Northwest Colombia,9.91,94,20-Aug
Brazil Ipanema Golden Edition C26 Lychee,,Taiwan,Ipanema,Brazil,4,94,21-Jul
Ethiopia Wate Mini Natural Espresso,Medium-Light,Taiwan,Hambela Dimtu,Guji,4.93,94,21-Nov
Ethiopia Sidama Naia Bomb Natural Vertical Reserve,Medium-Light,United States,Jimma Zone,Oromia State,5.88,93,19-Oct
Panama Static Gesha Natural,Medium-Light,United States,Boquete Growing Region,Panama,13.23,95,22-Jul
Tiger Blend Espresso,Medium-Light,Taiwan,Ethiopia,Brazil,3.54,91,22-Feb
Ethiopia Nectar Natural,Medium,Taiwan,Djimma,Ethiopia,2.94,91,20-Oct
Ethiopia Natural Guji,Medium-Light,Taiwan,Guji Zone,Oromia Region,2.97,94,21-Apr
Peru Walther Acuna,Medium-Light,United States,La Coipa,Cajamarca,5.86,91,22-Aug
K7 Sweet Spot,Medium-Light,Hawai'i,Kona Growing Region,Big Island Of Hawai’I,16.12,92,20-Nov
Guatemala La Folie,Medium-Light,United States,Antigua,Guatemala,6.17,92,19-Dec
Uganda Kapchorwa,Medium-Light,United States,Kapchorwa District,Eastern Region,5.29,90,18-Jun
Joker,Medium-Light,Malaysia,Mexico,Ethiopia,8.54,93,22-Jul
Wush Wush Ginbo Keffa Ethiopia,Medium-Light,United States,Sidama Growing Region,Southern Ethiopia,5.29,95,20-Aug
Colombia,Medium,United States,Colombia,Sidamo (Also Sidama) Growing Region,3.22,91,20-Feb
Ethiopia Shantawene Natural,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,6.47,95,21-Nov
Sumatra Batak Triple-Picked,Medium-Light,United States,Lintong Growing Region,Sumatra,5.29,92,22-Feb
Colombia Finca El Paraiso Double Anaerobic Geisha,Medium-Light,Taiwan,Cauca,Colombia,25.6,92,19-Nov
Thung Chang Robusta Honey,Medium,United States,Nan Province,Thailand,4.98,90,21-Apr
Ethiopia Kochere Debo Washed Gellana,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,3.89,94,18-Sep
Nicaragua Flor de Dalia Natural,Medium-Light,United States,La Dalia,Matagalpa Department,5.29,92,22-Oct
Memories of Autumn,Light,Taiwan,Ethiopia,Colombia,5.65,94,22-Oct
Cuxinales Guatemala,Medium-Light,United States,Antigua Growing Region,Guatemala,5.57,93,18-Nov
Peru Natural Jose Herrera Lot 21,Medium-Light,Taiwan,Cajamarca,Peru,3.68,93,19-Jun
Costa Rica La Rejolla Washed Geisha,Medium-Light,United States,Lourdes De Naranjo,West Valley,11.02,94,21-Nov
Finca Lerida Gesha Natural,Medium-Light,United States,Jaramillo,Boquete Growing Region,13.23,92,21-May
Honduras Finca Cerro Azul Yellow Pacas,Medium-Light,United States,Siguatepeque,Comayagua Department,10.58,93,22-Feb
Panama Mama Cata Geisha Champagne Natural,Light,United States,Boquete Growing Region,Panama,44.09,95,21-Dec
Kona Mocca®,Medium,Hawai'i,Holualoa,North Kona Growing District,19.82,96,18-Nov
Ethiopia Yirgacheffe Washed,Medium,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,6.4,91,19-Dec
Café Granja La Esperanza Sudan Rume Natural,Medium,United States,Valle Del Cauca Growing Region,Colombia,16.53,95,19-Apr
Aponte Colombia,Medium-Light,United States,Narino Department,Southern Colombia,4.69,90,19-Apr
Static Indonesia Toarco Sulawesi,Medium-Light,United States,Toraja Growing Region,South-Central Sulawesi,5.88,91,18-Mar
Conejo Añejo,Medium,United States,Dominican Republic,Honduras,5.29,93,22-Sep
Decaf Classic Espresso,Medium,United States,Antioquia,Colombia,4.98,90,18-Nov
Brazil Pulped Natural,Medium-Light,United States,Southern Minas Gerais State,Southeastern Brazil,5.64,91,18-May
Laura’s Reserve SL-28,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,28.2,93,19-May
Ethiopia Halo Hartume Daniel Mijane,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.58,94,21-Mar
Santa Elena Colombia Caturra Natural,Medium-Light,United States,Antioquia Department,Colombia,5.73,92,22-May
Static El Salvador Finca Maria Luisa,Medium-Light,United States,Santa Rosa,La Unión Department,3.5,89,17-Nov
Kenya AA TOP Nairobi Rose,Medium-Light,Taiwan,Embu County,Kenya,5.66,94,22-Sep
Guo Mei Zhu,Medium-Light,Taiwan,Nariño Department,Colombia,4.67,93,22-Feb
Sumatra Tano Batak,Medium,United States,Lintong Growing Region,North Sumatra Province,3.53,92,18-Mar
Aged Sumatra Ulos Batak 2015,Medium,United States,Lintong Growing Region,Sumatra,5.57,94,21-Mar
Kona Maragogype Natural,Medium-Light,United States,Kainaliu,Kona,26.41,94,21-Apr
Panama Elida Natural Catuai,Medium-Light,United States,Alto Quiel,Panama,6.45,95,19-Nov
Kenya Nyeri Gachatha Washed AB,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,4.6,94,21-Jun
Kenya Mwiria,Medium-Light,United States,South-Central Kenya,Sidama (Also Sidamo) Growing Region,4.98,92,18-Oct
Canet Musician Series Mozart Raisin Honey,Medium-Light,Taiwan,Tarrazu Growing Region,Costa Rica,10.08,92,22-Jul
Finca San Antonio El Salvador,Light,Taiwan,Chalatenango Department,Northwestern El Salvador,16.7,92,19-Aug
Ethiopia Yirgacheffe Worka Sakaro,Medium-Light,United States,Gedeb District,Gedeo Zone,7.35,95,21-Dec
Burundi Buhorwa,Light,United States,Kayanza Province,Burundi,6.47,93,20-Dec
Capital Cold Brew,Medium,United States,Brazil,Colombia,5.14,92,20-May
Karamo Ethiopia Sidama Natural G1,Medium-Light,Taiwan,Sidama Growing Region,Southern Ethiopia,6.34,93,22-Jul
Kona Naturals,Medium-Light,Hawai'i,Captain Cook,North Kona Growing District,13.23,92,19-Mar
Organic Floyd Farmhouse Blend,Medium-Light,United States,Central America,Africa,4.11,93,21-Oct
Colombia Chiroso Natural,Light,United States,Caicedo,Antioquia Department,22,93,21-Apr
Thanksgiving Blend,Medium,United States,Africa,Indonesia,4.11,90,18-Nov
Signature Blend,Medium,Taiwan,Ethiopia,Sumatra,1.97,91,19-Nov
Espresso 1849 Blend,Medium,United States,Guatemala,Ethiopia,5.29,94,18-Aug
Ethiopia Sidama,Medium-Light,United States,Mirado Village,Bensa District,3.82,93,22-Aug
Ethiopia Guji Hambela G1 Kudume Wolicho Honey,Light,Taiwan,Sidama Growing Region,Southern Ethiopia,10.4,93,22-Jan
Ethiopia Tamiru Tadesse Anaerobic,Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,127.87,96,21-Nov
Ethiopia Nano Genji #5,Medium-Light,United States,Guji Zone,Oromia Region,5.64,93,21-Dec
Panama Hacienda La Esmeralda Porton 5N49 Gesha Natural,Medium-Light,United States,Alto Quiel,Panama,28.66,95,22-Jun
La Union,Medium-Light,United States,Nariño Department,Southern Colombia,4.64,93,20-Nov
Warrior in the Forest Blend,Medium-Light,Taiwan,Ethiopia,Indonesia,6.37,92,18-Mar
Tablon La Cima,Medium-Light,United States,Santa Ana Region,El Salvador,5.88,91,19-Oct
El Salvador Finca Hungria,Medium-Light,United States,Santa Ana Department,El Salvador,4.39,92,21-Sep
Brazil Mogiana Aparecid Farm,Medium-Light,Taiwan,Mogiana Growing Region,Sao Paulo State,5.1,93,22-May
Guatemala Don Angel,Medium-Light,United States,La Libertad,Huehuetenango Department,5.58,92,22-Nov
Kona SL34,Medium-Light,Hawai'i,Kona,Hawaii,17.61,90,20-Feb
Kenya Nyeri Gatomboya,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,5.29,94,21-Dec
Colombia La Virgen Microlot,Medium-Light,United States,Liboriana Valley,Antioquia Department,4.69,92,21-Feb
Ethiopia Gera Reserve Anaerobic Natural,Light,United States,Djimma Growing Region,Oromia State,6.88,94,22-Sep
Kona Extra Fancy,Medium-Light,United States,Kona Growing Region,“Big Island” Of Hawai’I,13.52,95,22-Oct
El Salvador Las Veraneras Red Bourbon,Medium-Light,United States,Apaneca Ilamatepec Mountain Range,Cantón El Tunel,5.58,94,22-Feb
Costa Rica La Florida Red Honey Espresso,Medium-Light,Taiwan,Copey District,Costa Rica,4.25,95,21-Aug
Gedeb Ethiopia,Medium-Light,United States,Gedeb District,Gedeo Zone,5.51,95,18-Jan
El Salvador Finca El Cerro Natural,Medium-Light,United States,Apaneca-Ilamatepec Mountain Range,El Salvador,6.76,94,20-Feb
Costa Rica Gesha Tobosi Natural,Medium-Light,United States,El Guarco,Cartago Province,8.8,93,21-Apr
Kenya Kapsakiso,Medium,United States,Bungoma Region,Western Kenya,5.58,92,20-Aug
Kanyonyi Coffee Blend,Medium,Uganda,Buhoma,Southwest Uganda,3.96,92,18-Oct
Summer Night Blend Espresso,Medium-Light,Taiwan,Guatemala,Honduras,3.54,94,18-Mar
Colombia La Esperanza Anaerobic,Medium-Light,United States,Caicedonia,Valle De Cauca Department,12.35,94,21-Oct
Asprole Blend #1 Colombia Coffee for Peace,Medium-Light,United States,Cauca Department,Colombia,3.96,92,21-Mar
Whiskey Dreams Moka Java,Medium-Light,United States,Indonesia,Ethiopia,5.29,94,22-Feb
Honduras Reserve Luis Nolasco Nanolot,Medium-Light,United States,Santa Elena,Honduras,6.17,93,22-Apr
Panama Baru Geisha Black,Medium-Light,Taiwan,Boquete Growing Region,Western Panama,15.58,94,19-Apr
Old Crow Cuppa Joe,Medium,United States,Central America,South America,4.11,93,19-Jun
Ethiopia Yirgacheffe Hama Washed,Medium-Light,Taiwan,Yirgacheffe Growing Region,South-Central Ethiopia,4.93,94,22-Apr
Estelí Nicaragua,Medium-Light,United States,Dipilto,Nicaragua,6.61,94,20-Aug
Tanzania Tarime AB,Medium-Light,United States,Mara Growing Region,Tarime,5,94,19-Apr
Norte Peru,Medium-Light,United States,Jaén Province,Cajamarca Region,4.64,93,21-May
El Floral Colombia,Medium-Light,United States,Planadas,Tolima Department,6.17,95,20-Jul
Kenya Nyeri AA Ichuga,Medium,United States,Nyeri Growing Region,South-Central Kenya,3.53,92,20-Feb
Costa Rica Farmer’s Project,Medium-Light,United States,Costa Rica,Yirgacheffe Growing Region,5.29,90,19-Dec
Ethiopia Guji Wush Wush,Medium-Light,United States,Guji Zone,Oromia Region,7.33,95,21-May
Huta Raja Natural,Light,United States,Simalungun Regency,North Sumatra Province,6.17,93,19-Apr
Black Meow Blend,Medium,Taiwan,Colombia,Guatemala,2.34,93,19-Jul
Kenya Thirikwa Single-Origin Espresso,Medium,United States,Nyeri Growing Region,South-Central Kenya,6.47,94,19-Feb
Kenya Nyeri Ndaroini AA Washed,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,6.68,93,21-Aug
704 Blend,Medium,United States,Papua New Guinea,Guatemala,4.7,93,22-Feb
